Model,Metric_Type,N_samples,Accuracy,Macro_F1,Weighted_F1,MAE,RMSE,R2,Precision_Negative,Recall_Negative,Precision_Neutral,Recall_Neutral,Precision_Positive,Recall_Positive,Precision_Detractor,Recall_Detractor,Precision_Passive,Recall_Passive,Precision_Promoter,Recall_Promoter
Unified_PCS,PCS,200,0.64,0.5541,0.6609,0.885,1.1554,0.1184,1.0,0.25,0.4,0.9388,0.9643,0.551,,,,,,
PCS_LLMDriver,PCS,200,0.705,0.4538,0.7187,0.77,1.0392,0.2868,0.0,0.0,0.4444,0.8163,0.9182,0.6871,,,,,,
PCS_XGBoost,PCS,200,0.375,0.2485,0.3377,1.333,1.5382,-0.5624,0.0,0.0,0.2765,0.9592,0.9333,0.1905,,,,,,
Unified_NPS,NPS,200,0.585,0.4704,0.6299,1.475,1.9912,0.1462,,,,,,,0.9877,0.5405,0.3333,0.7556,0.1765,0.4286
NPS_LLMDriver,NPS,200,0.605,0.4962,0.6516,1.43,1.9468,0.1839,,,,,,,1.0,0.5676,0.3438,0.7333,0.2,0.5714
NPS_XGBoost,NPS,200,0.685,0.4495,0.6986,1.1775,1.5663,0.4717,,,,,,,0.9691,0.6351,0.4175,0.9556,0.0,0.0
